destination,origin,size
Australia/New Zealand,Ethiopia,2
Australia/New Zealand,Eswatini,2
Australia/New Zealand,Estonia,2
Australia/New Zealand,Eritrea,2
Australia/New Zealand,El Salvador,2
Australia/New Zealand,Egypt,2
Australia/New Zealand,Gabon,2
Slovenia,Australia/New Zealand,2
Slovakia,Australia/New Zealand,2
Singapore,Australia/New Zealand,2
Seychelles,Australia/New Zealand,2
Serbia*,Australia/New Zealand,2
Samoa,Australia/New Zealand,2
Saint Lucia,Australia/New Zealand,2
Portugal,Australia/New Zealand,2
Andorra,Australia/New Zealand,2
Australia/New Zealand,Argentina,2
Southern Asia,Australia/New Zealand,2
Australia/New Zealand,Chad,2
Australia/New Zealand,Bermuda*,2
Polynesia*,Australia/New Zealand,2
Australia/New Zealand,Antigua and Barbuda,2
Australia/New Zealand,Angola,2
Australia/New Zealand,American Samoa*,2
Australia/New Zealand,Algeria,2
Australia/New Zealand,Albania,2
Australia/New Zealand,Afghanistan,2
Australia/New Zealand,ASIA,2
Australia/New Zealand,AFRICA,2
Australia*,Australia/New Zealand,2
Argentina,Australia/New Zealand,2
Southern Europe,Australia/New Zealand,2
Australia/New Zealand,Central and Southern Asia,2
Australia/New Zealand,Central Asia,2
Australia/New Zealand,Central America,2
Australia/New Zealand,Central African Republic,2
Australia/New Zealand,Cayman Islands*,2
Australia/New Zealand,Caribbean,2
Australia/New Zealand,Canada,2
Australia/New Zealand,Cameroon,2
Australia/New Zealand,Cambodia,2
Australia/New Zealand,Burundi,2
Australia/New Zealand,Burkina Faso,2
Small Island Developing States (SIDS),Australia/New Zealand,2
Australia/New Zealand,Brunei Darussalam,2
Australia/New Zealand,Brazil,2
Australia/New Zealand,Botswana,2
Australia/New Zealand,Bosnia and Herzegovina,2
Australia/New Zealand,Bolivia (Plurinational State of),2
Australia/New Zealand,Bhutan,2
AFRICA,Australia/New Zealand,2
Southern Africa,Australia/New Zealand,2
South-Eastern Asia,Australia/New Zealand,2
South America,Australia/New Zealand,2
South Africa,Australia/New Zealand,2
Solomon Islands,Australia/New Zealand,2
Australia/New Zealand,Bulgaria,2
Australia/New Zealand,Northern Europe,2
Australia/New Zealand,Northern Africa and Western Asia,2
Australia/New Zealand,Northern Africa,2
Australia/New Zealand,North Macedonia,2
Australia/New Zealand,No income group available,2
Australia/New Zealand,Niue*,2
Australia/New Zealand,Nigeria,2
Australia/New Zealand,Nicaragua,2
Australia/New Zealand,New Zealand*,2
Australia/New Zealand,New Caledonia*,2
Australia/New Zealand,Netherlands*,2
Australia/New Zealand,Haiti,2
Australia/New Zealand,Nauru,2
Australia/New Zealand,Namibia,2
Australia/New Zealand,NORTHERN AMERICA,2
Australia/New Zealand,Myanmar,2
Australia/New Zealand,Mozambique,2
Australia/New Zealand,Morocco,2
Australia/New Zealand,More developed regions,2
Australia/New Zealand,Montenegro,2
Australia/New Zealand,Mongolia,2
Australia/New Zealand,Monaco,2
Australia/New Zealand,Middle-income countries,2
Australia/New Zealand,Middle Africa,2
Australia/New Zealand,Nepal,2
Australia/New Zealand,Saint Vincent and the Grenadines,2
Australia/New Zealand,Saint Lucia,2
Australia/New Zealand,Saint Kitts and Nevis,2
Australia/New Zealand,Réunion,2
Australia/New Zealand,Rwanda,2
Australia/New Zealand,Russian Federation,2
Australia/New Zealand,Romania,2
Australia/New Zealand,Republic of Moldova*,2
Australia/New Zealand,Republic of Korea,2
Australia/New Zealand,Qatar,2
Australia/New Zealand,Puerto Rico*,2
Australia/New Zealand,Norway*,2
