country,degree,betweenness,closeness,pagerank
Ghana,0.4291845493562232,0.00536480686695279,0.5344036697247706,0.001929336845610902
Guadeloupe,0.1459227467811159,0.0,0.48643006263048016,0.0055864023336678935
Martinique,0.11587982832618025,0.0,0.4716599190283401,0.005456676076554643
Mauritania,0.2832618025751073,0.038016131419268906,0.5032397408207343,0.0013321542591265237
Morocco,0.33476394849785407,0.004273346159538257,0.4716599190283401,0.0013597664189795079
New Caledonia,0.10300429184549356,4.624833505993784e-05,0.492600422832981,0.002834464124155372
Niger,0.18884120171673818,0.0,0.40734265734265734,0.001675525452080359
Poland,0.592274678111588,0.0042548468255142816,0.5641646489104116,0.008109214659195615
Senegal,0.34334763948497854,0.004347343495634157,0.4824016563146998,0.0022533212857541946
Spain,0.5793991416309013,0.0,0.5381062355658198,0.02418564636242714
Tunisia,0.27467811158798283,0.004273346159538257,0.455078125,0.0010671682485183184
Western Sahara,0.060085836909871244,0.0,0.43068391866913125,0.0006671912121135259
American Samoa,0.06866952789699571,0.0040143554832026045,0.41238938053097346,0.0008949756231411984
Micronesia (Fed. States of),0.07725321888412018,0.012727541808494893,0.39625850340136054,0.0014222060692603762
Samoa,0.16738197424892703,0.046855729860391694,0.49156118143459915,0.001095255412375528
Andorra,0.12875536480686695,0.04543436436288294,0.4989293361884368,0.0010864286383081817
Angola,0.22746781115879827,0.0,0.46506986027944114,0.001108534127358864
Botswana,0.2317596566523605,0.009348330126782102,0.5235955056179775,0.0010969467981698257
Cabo Verde,0.24892703862660945,0.05113678407577327,0.512087912087912,0.0008011683138997566
Cameroon,0.30042918454935624,0.0,0.5,0.0017212220424797386
Congo,0.26609442060085836,0.0,0.45956607495069035,0.0015127562619779045
Democratic Republic of the Congo,0.296137339055794,0.0,0.36180124223602483,0.002282309777336642
Eritrea,0.26609442060085836,0.033909279265946425,0.446360153256705,0.0006650766609408712
Eswatini,0.15021459227467812,0.0014491144985447192,0.4957446808510638,0.0007868979585638546
Mozambique,0.2317596566523605,0.0,0.4489402697495183,0.0018880883093961962
Sao Tome and Principe,0.08583690987124463,0.0,0.41831238779174146,0.0006539346282855763
